x cord,right_window,ray Left,ray Mid Left,ray Forward,ray Mid Right,ray Right,left_window,left,right
268,100,300,300,400,134,300,100,0,1
270,100,300,299,400,132,300,100,0,1
276,100,300,297,400,127,300,100,0,1
291,100,300,291,400,116,116,100,0,1
305,100,300,286,400,113,105,100,0,1
308,100,300,400,400,118,104,100,0,1
314,100,300,400,400,130,99,100,0,1
303,100,137,137,183,400,300,100,1,0
295,100,131,131,179,400,300,100,1,0
291,100,127,139,177,400,300,100,1,0
287,100,124,147,175,400,300,100,1,0
282,100,121,156,173,400,300,100,1,0
278,100,118,164,171,400,300,100,1,0
272,100,113,177,168,400,300,100,1,0
266,100,108,165,165,400,300,100,1,0
259,100,104,162,400,400,300,100,1,0
255,100,105,160,400,400,300,100,1,0
253,100,108,159,400,400,300,100,1,0
249,100,112,157,400,400,300,100,1,0
247,100,114,156,400,400,300,100,1,0
234,100,126,150,400,400,300,100,1,0
215,100,118,118,400,400,300,100,1,0
209,100,115,115,400,400,300,100,1,0
305,82,300,400,279,400,300,100,1,0
303,83,300,400,277,400,300,100,1,0
301,84,300,400,276,400,300,100,1,0
291,90,300,400,268,400,300,100,1,0
287,93,300,400,265,400,300,100,1,0
280,96,300,400,261,400,300,100,1,0
278,97,300,400,259,400,300,100,1,0
276,99,300,400,258,400,300,100,1,0
274,100,300,400,256,400,300,100,1,0
263,100,300,400,249,400,300,100,1,0
261,100,300,400,247,400,300,100,1,0
251,100,300,400,400,400,300,100,1,0
247,100,300,400,400,400,300,100,1,0
242,100,300,400,400,400,300,100,1,0
221,100,300,206,400,400,300,100,1,0
203,100,300,192,400,400,300,100,1,0
198,100,300,189,400,400,300,100,1,0
192,100,300,185,400,400,300,100,1,0
192,100,128,136,400,400,300,100,0,1
194,100,127,132,400,400,300,100,0,1
196,100,125,128,400,400,300,100,0,1
209,100,116,116,400,400,300,100,0,1
209,100,66,103,400,400,300,100,1,0
205,100,63,111,400,400,300,100,1,0
203,100,62,115,400,400,300,100,1,0
207,100,154,398,326,400,300,100,0,1
209,100,152,397,325,400,300,100,0,1
211,100,150,397,324,400,300,100,0,1
217,100,143,396,320,400,300,100,0,1
219,100,141,395,319,400,300,100,0,1
226,100,135,394,316,400,300,100,0,1
230,100,131,393,313,400,300,100,0,1
238,100,122,392,309,400,300,100,0,1
240,100,120,391,308,400,300,100,0,1
242,100,118,391,306,400,300,100,0,1
245,100,116,390,305,400,300,100,0,1
251,100,110,389,400,400,300,100,0,1
266,100,95,400,400,400,300,100,0,1
282,100,78,400,400,400,300,100,0,1
287,100,74,147,400,400,300,100,0,1
289,100,72,143,400,400,300,100,0,1
293,100,68,135,400,400,300,100,0,1
295,100,66,131,400,400,300,100,0,1
305,10,300,400,400,169,300,100,0,1
287,100,74,400,251,240,300,100,1,0
284,100,76,400,251,240,300,100,1,0
278,100,82,400,248,400,300,100,1,0
272,100,89,400,245,400,300,100,1,0
266,100,95,400,243,400,300,100,1,0
261,100,99,400,241,400,300,100,1,0
259,100,101,400,400,400,300,100,1,0
255,100,300,400,400,400,300,100,1,0
251,100,300,400,400,400,300,100,1,0
247,100,300,400,229,400,300,100,1,0
238,100,300,400,227,400,300,100,1,0
221,100,300,224,222,400,300,100,1,0
217,100,300,222,221,400,300,100,1,0
213,100,300,221,220,400,300,100,1,0
209,100,300,219,219,400,300,100,1,0
207,100,300,218,218,400,300,100,1,0
203,100,300,216,217,400,300,100,1,0
200,100,300,215,217,400,300,100,1,0
198,100,300,214,216,400,300,100,1,0
196,100,300,214,216,400,300,100,1,0
186,100,300,209,213,400,300,100,1,0
184,100,300,208,212,400,300,100,1,0
179,100,300,206,211,400,300,100,1,0
177,100,300,206,210,400,300,100,1,0
173,100,300,204,209,400,300,100,1,0
167,100,300,201,208,400,300,100,1,0
161,100,300,199,206,400,300,100,1,0
158,100,300,204,400,400,300,100,1,0
154,100,300,212,400,400,300,100,1,0
135,100,188,199,400,400,300,100,1,0
131,100,186,198,400,400,300,100,1,0
129,100,185,197,400,400,300,100,1,0
119,100,181,194,400,400,300,100,1,0
112,100,178,193,400,400,300,100,1,0
106,100,300,400,299,400,300,100,0,1
110,100,300,400,296,400,300,100,0,1
112,100,300,400,295,400,300,100,0,1
114,100,300,400,293,400,300,100,0,1
116,100,300,400,292,400,300,100,0,1
121,100,300,400,289,400,300,100,0,1
127,100,300,400,285,400,300,100,0,1
129,100,300,400,284,400,300,100,0,1
131,100,300,400,283,400,300,100,0,1
140,100,300,400,277,400,300,100,0,1
142,100,300,400,276,400,300,100,0,1
146,100,300,400,273,400,300,100,0,1
148,100,300,400,272,400,300,100,0,1
158,100,300,400,400,400,300,100,0,1
165,100,300,400,400,400,300,100,0,1
